track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703.0,125,B,Major,80,89,83,31
LALA,Myke Towers,1,2023,3,23,1474,48,133716286.0,92,C#,Major,71,61,74,7
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974.0,138,F,Major,51,32,53,17
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817.0,170,A,Major,55,58,72,11
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322.0,144,A,Minor,65,23,80,14
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234.0,141,C#,Major,92,66,58,19
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112.0,148,F,Minor,67,83,76,48
Columbia,Quevedo,1,2023,7,7,714,43,58149378.0,100,F,Major,67,26,71,37
fukumean,Gunna,1,2023,5,15,1096,83,95217315.0,130,C#,Minor,85,22,62,12
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067.0,170,D,Minor,81,56,48,21
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438.0,83,F#,Minor,57,56,72,23
Super Shy,NewJeans,1,2023,7,7,422,55,58255150.0,150,F,Minor,78,52,82,18
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716.0,118,,Major,71,65,68,6
Daylight,David Kushner,1,2023,4,14,3528,98,387570742.0,130,D,Minor,51,32,43,83
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493.0,174,F#,Minor,52,66,73,34
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654.0,89,G#,Major,64,43,73,5
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686.0,120,B,Minor,78,76,59,43
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883.0,78,,Major,44,14,9,96
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234.0,100,B,Major,86,67,66,14
Like Crazy,Jimin,1,2023,3,24,596,68,363369738.0,120,G,Major,63,36,73,0
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842.0,140,F,Minor,65,87,74,22
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248.0,123,F#,Major,69,82,76,6
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226.0,135,,Minor,48,44,42,12
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221.0,133,F,Minor,85,81,67,26
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561.0,99,C#,Major,85,83,68,7
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654.0,130,G,Minor,79,96,86,9
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384.0,107,B,Major,80,82,80,43
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289.0,122,F#,Minor,81,74,71,14
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812.0,204,F#,Major,52,52,68,46
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954.0,110,B,Minor,67,78,85,2
Rush,Troye Sivan,1,2023,7,13,864,78,22581161.0,126,F,Minor,74,35,84,0
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266.0,168,F#,Major,56,63,87,39
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510.0,98,C#,Minor,71,17,61,36
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277.0,97,E,Major,64,51,63,12
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393.0,180,E,Minor,72,61,63,67
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413.0,120,,Major,81,63,68,11
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502.0,150,F#,Major,61,39,73,37
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075.0,96,F,Major,75,57,68,9
Style,Taylor Swift,1,2014,1,1,7830,42,786181836.0,95,D,Major,60,48,79,0
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476.0,125,F,Minor,79,96,85,27
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408.0,144,A,Minor,56,84,65,23
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550.0,90,D,Major,76,91,50,54
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169.0,128,G,Minor,56,38,97,4
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291.0,79,F#,Major,56,58,56,37
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199.0,144,,Major,77,75,58,52
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054.0,122,F,Major,67,49,64,10
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420.0,140,,Major,71,82,81,11
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0,134,C#,Minor,59,51,52,9
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693.0,186,G,Major,68,49,59,16
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108.0,67,C#,Minor,53,50,53,23
